INFO:2019-11-04 11:15:07,609:scp md file status: 
INFO:2019-11-04 11:15:10,561:scp html file status: 
INFO:2019-11-04 11:15:14,091:scp post_list.json status: 
INFO:2019-11-04 11:15:16,851:exec remote.py status: 
INFO:2019-11-05 16:26:02,200:use new 'papers_writing'
INFO:2019-11-05 16:26:09,212:scp md file status: 
INFO:2019-11-05 16:26:15,947:scp html file status: 
INFO:2019-11-05 16:26:22,274:scp post_list.json status: 
INFO:2019-11-05 16:26:27,545:exec remote.py status: 
INFO:2019-11-05 16:28:03,585:use new 'papers_writing'
INFO:2019-11-05 16:28:11,384:scp md file status: 
INFO:2019-11-05 16:28:17,933:scp html file status: 
INFO:2019-11-05 16:28:27,349:scp post_list.json status: 
INFO:2019-11-05 16:28:33,421:exec remote.py status: 
INFO:2019-11-05 16:37:03,075:use new 'think_structure'
INFO:2019-11-05 16:37:11,754:scp md file status: 
INFO:2019-11-05 16:37:18,427:scp html file status: 
INFO:2019-11-05 16:37:24,963:scp post_list.json status: 
INFO:2019-11-05 16:37:30,354:exec remote.py status: 
INFO:2019-11-05 16:39:03,200:use new 'papers_writing'
INFO:2019-11-05 16:39:11,683:scp md file status: 
INFO:2019-11-05 16:39:19,244:scp html file status: 
INFO:2019-11-05 16:39:26,480:scp post_list.json status: 
INFO:2019-11-05 16:39:33,274:exec remote.py status: 
INFO:2019-11-05 16:51:02,538:use new 'papers_writing'
INFO:2019-11-05 16:51:09,496:scp md file status: 
INFO:2019-11-05 16:51:16,203:scp html file status: 
INFO:2019-11-05 16:51:25,267:scp post_list.json status: 
INFO:2019-11-05 16:51:30,589:exec remote.py status: 
INFO:2019-11-05 16:57:03,825:use new 'papers_writing'
INFO:2019-11-05 16:57:11,393:scp md file status: 
INFO:2019-11-05 16:57:18,209:scp html file status: 
INFO:2019-11-05 16:57:24,735:scp post_list.json status: 
INFO:2019-11-05 16:57:30,087:exec remote.py status: 
INFO:2019-11-05 16:57:39,513:use new 'papers_writing'
INFO:2019-11-05 16:57:45,862:scp md file status: 
INFO:2019-11-05 16:57:52,273:scp html file status: 
INFO:2019-11-05 16:57:59,384:scp post_list.json status: 
INFO:2019-11-05 16:58:04,705:exec remote.py status: 
INFO:2019-11-05 17:05:02,679:use new 'papers_writing'
INFO:2019-11-05 17:05:09,812:scp md file status: 
INFO:2019-11-05 17:05:16,332:scp html file status: 
INFO:2019-11-05 17:05:22,716:scp post_list.json status: 
INFO:2019-11-05 17:05:28,367:exec remote.py status: 
INFO:2019-11-05 17:26:02,969:use new 'spider'
INFO:2019-11-05 17:26:10,971:scp md file status: 
INFO:2019-11-05 17:26:19,342:scp html file status: 
INFO:2019-11-05 17:26:25,915:scp post_list.json status: 
INFO:2019-11-05 17:26:31,690:exec remote.py status: 
INFO:2019-11-05 17:28:02,701:use new 'spider'
INFO:2019-11-05 17:28:10,856:scp md file status: 
INFO:2019-11-05 17:28:18,238:scp html file status: 
INFO:2019-11-05 17:28:25,581:scp post_list.json status: 
INFO:2019-11-05 17:28:30,822:exec remote.py status: 
INFO:2019-11-05 17:37:03,051:use new 'spider'
INFO:2019-11-05 17:37:11,343:scp md file status: 
INFO:2019-11-05 17:37:18,704:scp html file status: 
INFO:2019-11-05 17:37:25,769:scp post_list.json status: 
INFO:2019-11-05 17:37:31,512:exec remote.py status: 
INFO:2019-11-05 18:45:01,761:use new 'Digital_Signal_Processing'
INFO:2019-11-05 18:45:09,658:scp md file status: 
INFO:2019-11-05 18:45:18,940:scp html file status: 
INFO:2019-11-05 18:45:30,722:scp post_list.json status: 
INFO:2019-11-05 18:45:37,757:exec remote.py status: 
INFO:2019-11-05 18:49:01,254:use new 'Digital_Signal_Processing'
INFO:2019-11-05 18:49:10,962:scp md file status: 
INFO:2019-11-05 18:49:18,559:scp html file status: 
INFO:2019-11-05 18:49:25,962:scp post_list.json status: 
INFO:2019-11-05 18:49:32,272:exec remote.py status: 
INFO:2019-11-05 18:51:01,904:use new 'Politics'
INFO:2019-11-05 18:51:10,727:scp md file status: 
INFO:2019-11-05 18:51:19,979:scp html file status: 
INFO:2019-11-05 18:51:19,985:use new 'study_structure'
INFO:2019-11-05 18:51:30,141:scp md file status: 
INFO:2019-11-05 18:51:37,424:scp html file status: 
INFO:2019-11-05 18:51:44,515:scp post_list.json status: 
INFO:2019-11-05 18:51:49,894:exec remote.py status: 
INFO:2019-11-05 18:52:02,267:use new 'Advanced_Math'
INFO:2019-11-05 18:52:11,866:scp md file status: 
INFO:2019-11-05 18:52:19,364:scp html file status: 
INFO:2019-11-05 18:52:27,416:scp post_list.json status: 
INFO:2019-11-05 18:52:32,986:exec remote.py status: 
INFO:2019-11-05 18:53:02,996:use new 'Probability_Theory'
INFO:2019-11-05 18:53:11,703:scp md file status: 
INFO:2019-11-05 18:53:19,413:scp html file status: 
